Time(s)	Force(lb)	Position(mm)
0.1372	0.032037	47.9997
0.1872	0.032033	47.9993
0.2372	0.032039	47.9986
0.3146	0.032037	47.9970
0.3646	0.032037	47.9958
0.4146	0.032033	47.9940
0.4646	0.032033	47.9920
0.5226	0.032031	47.9896
0.5726	0.032029	47.9873
0.6226	0.032023	47.9848
0.6726	0.032033	47.9816
0.7145	0.032033	47.9792
0.7645	0.032029	47.9758
0.8145	0.032031	47.9720
0.8645	0.032025	47.9683
0.9226	0.032016	47.9632
0.9726	0.032031	47.9589
1.0226	0.032037	47.9547
1.0726	0.032031	47.9499
1.1143	0.032033	47.9454
1.1643	0.032037	47.9407
1.2143	0.032033	47.9355
1.2643	0.032031	47.9306
1.3062	0.032029	47.9265
1.3562	0.032029	47.9213
1.4062	0.032033	47.9165
1.4562	0.032031	47.9111
1.5142	0.032031	47.9053
1.5642	0.032027	47.9006
1.6142	0.032023	47.8957
1.6642	0.032031	47.8904
1.7061	0.032033	47.8865
1.7561	0.032035	47.8814
1.8061	0.032037	47.8763
1.8561	0.032039	47.8714
1.9140	0.032035	47.8650
1.9640	0.032037	47.8605
2.0140	0.032031	47.8558
2.0640	0.032031	47.8507
2.1063	0.032031	47.8464
2.1563	0.032031	47.8417
2.2063	0.032035	47.8364
2.2563	0.032041	47.8311
2.3139	0.032037	47.8253
2.3639	0.032037	47.8203
2.4139	0.032043	47.8151
2.4639	0.032043	47.8104
2.5058	0.032041	47.8059
2.5558	0.032045	47.8008
2.6058	0.032041	47.7962
2.6558	0.032041	47.7915
2.7137	0.032043	47.7854
2.7637	0.032043	47.7806
2.8137	0.032045	47.7755
2.8637	0.032045	47.7704
2.9056	0.032049	47.7664
2.9556	0.032055	47.7616
3.0056	0.032053	47.7565
3.0556	0.032049	47.7515
3.1138	0.032043	47.7458
3.1638	0.032049	47.7407
3.2138	0.032053	47.7358
3.2638	0.032053	47.7303
3.3055	0.032049	47.7264
3.3555	0.032049	47.7216
3.4055	0.032053	47.7162
3.4555	0.032053	47.7117
3.5133	0.032057	47.7056
3.5633	0.032063	47.7008
3.6133	0.032061	47.6957
3.6633	0.032061	47.6904
3.7053	0.032057	47.6864
3.7553	0.032061	47.6812
3.8053	0.032063	47.6764
3.8553	0.032061	47.6715
3.9132	0.032061	47.6656
3.9632	0.032063	47.6608
4.0132	0.032053	47.6552
4.0632	0.032057	47.6505
4.1051	0.032065	47.6466
4.1551	0.032071	47.6417
4.2051	0.032069	47.6365
4.2551	0.032073	47.6317
4.3130	0.032077	47.6257
4.3630	0.032069	47.6203
4.4130	0.032067	47.6151
4.4630	0.032067	47.6104
4.5049	0.032071	47.6066
4.5549	0.032075	47.6013
4.6049	0.032075	47.5963
4.6549	0.032075	47.5915
4.6968	0.032081	47.5869
4.7468	0.032081	47.5821
4.7968	0.032079	47.5770
4.8468	0.032087	47.5720
4.9047	0.032087	47.5664
4.9547	0.032083	47.5612
5.0047	0.032087	47.5564
5.0547	0.032085	47.5517
5.0967	0.032083	47.5475
5.1467	0.032085	47.5424
5.1967	0.032094	47.5368
5.2467	0.032100	47.5322
5.3047	0.032094	47.5268
5.3547	0.032083	47.5216
5.4047	0.032083	47.5164
5.4547	0.032094	47.5117
5.4965	0.032100	47.5071
5.5465	0.032098	47.5023
5.5965	0.032096	47.4974
5.6465	0.032100	47.4920
5.7045	0.032102	47.4866
5.7545	0.032104	47.4819
5.8045	0.032104	47.4765
5.8545	0.032102	47.4717
5.8963	0.032102	47.4677
5.9463	0.032106	47.4623
5.9963	0.032104	47.4569
6.0463	0.032108	47.4520
6.1043	0.032124	47.4465
6.1543	0.032122	47.4415
6.2043	0.032122	47.4363
6.2543	0.032118	47.4316
6.2962	0.032118	47.4272
6.3462	0.032124	47.4223
6.3962	0.032120	47.4173
6.4462	0.032118	47.4120
6.5041	0.032124	47.4068
6.5541	0.032126	47.4013
6.6041	0.032134	47.3966
6.6541	0.032128	47.3916
6.6960	0.032128	47.3871
6.7460	0.032130	47.3826
6.7960	0.032134	47.3774
6.8460	0.032130	47.3723
6.9043	0.032132	47.3666
6.9543	0.032130	47.3616
7.0043	0.032136	47.3569
7.0543	0.032142	47.3517
7.0959	0.032134	47.3476
7.1459	0.032138	47.3426
7.1959	0.032134	47.3372
7.2459	0.032132	47.3326
7.3037	0.032144	47.3265
7.3537	0.032140	47.3217
7.4037	0.032140	47.3166
7.4537	0.032144	47.3113
7.4957	0.032148	47.3073
7.5457	0.032154	47.3021
7.5957	0.032150	47.2972
7.6457	0.032140	47.2922
7.6876	0.032144	47.2879
7.7376	0.032148	47.2830
7.7876	0.032148	47.2784
7.8376	0.032152	47.2735
7.8955	0.032152	47.2674
7.9455	0.032158	47.2626
7.9955	0.032166	47.2575
8.0455	0.032160	47.2527
8.0875	0.032158	47.2485
8.1375	0.032162	47.2434
8.1875	0.032164	47.2387
8.2375	0.032169	47.2332
8.2953	0.032162	47.2271
8.3453	0.032162	47.2222
8.3953	0.032166	47.2172
8.4453	0.032175	47.2120
8.4873	0.032171	47.2081
8.5373	0.032171	47.2034
8.5873	0.032169	47.1985
8.6373	0.032177	47.1934
8.6951	0.032173	47.1877
8.7451	0.032175	47.1823
8.7951	0.032173	47.1776
8.8451	0.032175	47.1723
8.8871	0.032185	47.1680
8.9371	0.032189	47.1635
8.9871	0.032179	47.1580
9.0371	0.032183	47.1533
9.0950	0.032191	47.1472
9.1450	0.032191	47.1422
9.1950	0.032197	47.1376
9.2450	0.032193	47.1329
9.2869	0.032191	47.1283
9.3369	0.032191	47.1230
9.3869	0.032197	47.1179
9.4369	0.032197	47.1131
9.4959	0.032199	47.1071
9.5459	0.032207	47.1022
9.5959	0.032209	47.0974
9.6459	0.032205	47.0923
9.6867	0.032201	47.0882
9.7367	0.032207	47.0835
9.7867	0.032205	47.0784
9.8367	0.032207	47.0735
9.8947	0.032207	47.0676
9.9447	0.032207	47.0625
9.9947	0.032213	47.0580
10.0447	0.032219	47.0525
10.0866	0.032211	47.0481
10.1366	0.032219	47.0431
10.1866	0.032221	47.0383
10.2366	0.032215	47.0330
10.2945	0.032213	47.0277
10.3445	0.032219	47.0224
10.3945	0.032227	47.0174
10.4445	0.032227	47.0126
10.4865	0.032231	47.0080
10.5365	0.032231	47.0033
10.5865	0.032231	46.9981
10.6365	0.032227	46.9930
10.6943	0.032227	46.9874
10.7443	0.032231	46.9823
10.7943	0.032229	46.9775
10.8443	0.032231	46.9723
10.8862	0.032233	46.9681
10.9362	0.032239	46.9633
10.9862	0.032241	46.9586
11.0362	0.032237	46.9535
11.0781	0.032241	46.9494
11.1281	0.032246	46.9445
11.1781	0.032248	46.9393
11.2281	0.032244	46.9346
11.2861	0.032244	46.9283
11.3361	0.032246	46.9230
11.3861	0.032246	46.9180
11.4361	0.032252	46.9133
11.4780	0.032254	46.9095
11.5280	0.032248	46.9042
11.5780	0.032248	46.8987
11.6280	0.032252	46.8935
11.6860	0.032256	46.8882
11.7360	0.032260	46.8835
11.7860	0.032262	46.8782
11.8360	0.032262	46.8734
11.8778	0.032264	46.8692
11.9278	0.032264	46.8640
11.9778	0.032256	46.8592
12.0278	0.032262	46.8543
12.0861	0.032266	46.8482
12.1361	0.032264	46.8432
12.1861	0.032264	46.8381
12.2361	0.032266	46.8329
12.2777	0.032268	46.8290
12.3277	0.032272	46.8245
12.3777	0.032270	46.8194
12.4277	0.032276	46.8141
12.4856	0.032280	46.8084
12.5356	0.032276	46.8031
12.5856	0.032272	46.7984
12.6356	0.032278	46.7932
12.6775	0.032286	46.7889
12.7275	0.032292	46.7842
12.7775	0.032292	46.7794
12.8275	0.032288	46.7743
12.8854	0.032294	46.7685
12.9354	0.032290	46.7634
12.9854	0.032274	46.7583
13.0354	0.032284	46.7535
13.0804	0.032296	46.7486
13.1304	0.032298	46.7438
13.1804	0.032294	46.7392
13.2304	0.032296	46.7343
13.2853	0.032300	46.7286
13.3353	0.032306	46.7239
13.3853	0.032306	46.7187
13.4353	0.032304	46.7134
13.4771	0.032302	46.7090
13.5271	0.032304	46.7042
13.5771	0.032310	46.6991
13.6271	0.032310	46.6943
13.6851	0.032310	46.6884
13.7351	0.032312	46.6834
13.7851	0.032316	46.6786
13.8351	0.032323	46.6738
13.8770	0.032323	46.6694
13.9270	0.032327	46.6644
13.9770	0.032327	46.6595
14.0270	0.032323	46.6543
14.0849	0.032321	46.6486
14.1349	0.032325	46.6433
14.1849	0.032323	46.6385
14.2349	0.032327	46.6335
14.2768	0.032327	46.6291
14.3268	0.032331	46.6245
14.3768	0.032333	46.6191
14.4268	0.032335	46.6142
14.4688	0.032335	46.6102
14.5188	0.032339	46.6047
14.5688	0.032335	46.5999
14.6188	0.032329	46.5952
14.6767	0.032333	46.5892
14.7267	0.032343	46.5842
14.7767	0.032349	46.5794
14.8267	0.032345	46.5739
14.8686	0.032349	46.5699
14.9186	0.032355	46.5652
14.9686	0.032353	46.5604
15.0186	0.032351	46.5549
15.0765	0.032357	46.5488
15.1265	0.032353	46.5441
15.1765	0.032355	46.5396
15.2265	0.032353	46.5346
15.2684	0.032351	46.5301
15.3184	0.032355	46.5254
15.3684	0.032359	46.5203
15.4184	0.032359	46.5154
15.4763	0.032361	46.5096
15.5263	0.032367	46.5044
15.5763	0.032365	46.4997
15.6263	0.032365	46.4941
15.6682	0.032371	46.4902
15.7182	0.032371	46.4852
15.7682	0.032369	46.4799
15.8182	0.032375	46.4754
15.8762	0.032373	46.4691
15.9262	0.032379	46.4643
15.9762	0.032377	46.4593
16.0262	0.032377	46.4542
16.0681	0.032383	46.4503
16.1181	0.032394	46.4452
16.1681	0.032385	46.4402
16.2181	0.032385	46.4351
16.2760	0.032385	46.4291
16.3260	0.032389	46.4246
16.3760	0.032396	46.4199
16.4260	0.032391	46.4148
16.4679	0.032396	46.4103
16.5179	0.032404	46.4051
16.5679	0.032406	46.4006
16.6179	0.032396	46.3952
16.6758	0.032402	46.3894
16.7258	0.032410	46.3844
16.7758	0.032414	46.3793
16.8258	0.032410	46.3743
16.8677	0.032406	46.3699
16.9177	0.032406	46.3651
16.9677	0.032404	46.3604
17.0177	0.032404	46.3555
17.0757	0.032410	46.3496
17.1257	0.032414	46.3449
17.1757	0.032416	46.3397
17.2257	0.032414	46.3343
17.2676	0.032422	46.3299
17.3176	0.032418	46.3251
17.3676	0.032420	46.3200
17.4176	0.032424	46.3152
17.4595	0.032428	46.3110
17.5095	0.032428	46.3058
17.5595	0.032428	46.3012
17.6095	0.032424	46.2958
17.6675	0.032424	46.2902
17.7175	0.032426	46.2852
17.7675	0.032430	46.2799
17.8175	0.032436	46.2754
17.8593	0.032438	46.2708
17.9093	0.032442	46.2659
17.9593	0.032440	46.2612
18.0093	0.032438	46.2563
18.0672	0.032440	46.2503
18.1172	0.032438	46.2448
18.1672	0.032442	46.2400
18.2172	0.032454	46.2354
18.2592	0.032448	46.2315
18.3092	0.032450	46.2259
18.3592	0.032456	46.2211
18.4092	0.032454	46.2159
18.4671	0.032452	46.2102
18.5171	0.032458	46.2053
18.5671	0.032456	46.2001
18.6171	0.032458	46.1953
18.6590	0.032456	46.1907
18.7090	0.032454	46.1857
18.7590	0.032466	46.1811
18.8090	0.032466	46.1763
18.8669	0.032469	46.1702
18.9169	0.032477	46.1654
18.9669	0.032477	46.1604
19.0169	0.032475	46.1554
19.0588	0.032479	46.1513
19.1088	0.032477	46.1458
19.1588	0.032479	46.1411
19.2088	0.032483	46.1360
19.2667	0.032479	46.1302
19.3167	0.032481	46.1254
19.3667	0.032489	46.1200
19.4167	0.032487	46.1152
19.4587	0.032479	46.1109
19.5087	0.032483	46.1059
19.5587	0.032493	46.1011
19.6087	0.032497	46.0957
19.6666	0.032497	46.0902
19.7166	0.032495	46.0848
19.7666	0.032493	46.0799
19.8166	0.032493	46.0753
19.8585	0.032503	46.0713
19.9085	0.032507	46.0662
19.9585	0.032503	46.0613
20.0085	0.032507	46.0564
20.0665	0.032505	46.0506
20.1165	0.032499	46.0459
20.1665	0.032509	46.0406
20.2165	0.032517	46.0354
20.2584	0.032515	46.0312
20.3084	0.032517	46.0265
20.3584	0.032515	46.0214
20.4084	0.032513	46.0159
20.4663	0.032525	46.0102
20.5163	0.032521	46.0053
20.5663	0.032517	46.0002
20.6163	0.032517	45.9954
20.6582	0.032523	45.9910
20.7082	0.032527	45.9861
20.7582	0.032523	45.9813
20.8082	0.032531	45.9764
20.8501	0.032533	45.9720
20.9001	0.032533	45.9671
20.9501	0.032531	45.9621
21.0001	0.032529	45.9569
21.0581	0.032539	45.9514
21.1081	0.032541	45.9458
21.1581	0.032550	45.9413
21.2081	0.032548	45.9362
21.2499	0.032548	45.9319
21.2999	0.032548	45.9275
21.3499	0.032548	45.9220
21.3999	0.032546	45.9172
21.4578	0.032548	45.9113
21.5078	0.032562	45.9061
21.5578	0.032566	45.9013
21.6078	0.032560	45.8961
21.6498	0.032558	45.8921
21.6998	0.032556	45.8871
21.7498	0.032562	45.8820
21.7998	0.032566	45.8772
21.8577	0.032566	45.8708
21.9077	0.032570	45.8662
21.9577	0.032568	45.8615
22.0077	0.032570	45.8565
22.0496	0.032574	45.8521
22.0996	0.032582	45.8474
22.1496	0.032580	45.8420
22.1996	0.032580	45.8372
22.2575	0.032584	45.8316
22.3075	0.032584	45.8263
22.3575	0.032588	45.8210
22.4075	0.032586	45.8161
22.4495	0.032588	45.8117
22.4995	0.032592	45.8065
22.5495	0.032586	45.8020
22.5995	0.032596	45.7973
22.6573	0.032604	45.7914
22.7073	0.032596	45.7865
22.7573	0.032602	45.7815
22.8073	0.032606	45.7763
22.8493	0.032604	45.7723
22.8993	0.032612	45.7668
22.9493	0.032616	45.7620
22.9993	0.032616	45.7572
23.0572	0.032612	45.7512
23.1072	0.032614	45.7466
23.1572	0.032619	45.7411
23.2072	0.032621	45.7362
23.2491	0.032619	45.7320
23.2991	0.032616	45.7268
23.3491	0.032625	45.7220
23.3991	0.032631	45.7169
23.4570	0.032631	45.7112
23.5070	0.032619	45.7060
23.5570	0.032623	45.7008
23.6070	0.032631	45.6963
23.6490	0.032639	45.6923
23.6990	0.032641	45.6872
23.7490	0.032639	45.6821
23.7990	0.032637	45.6773
23.8569	0.032645	45.6713
23.9069	0.032651	45.6666
23.9569	0.032647	45.6613
24.0069	0.032645	45.6565
24.0490	0.032647	45.6526
24.0990	0.032663	45.6471
24.1490	0.032661	45.6418
24.1990	0.032655	45.6369
24.2407	0.032659	45.6329
24.2907	0.032663	45.6281
24.3407	0.032661	45.6229
24.3907	0.032663	45.6181
24.4488	0.032667	45.6121
24.4988	0.032671	45.6071
24.5488	0.032669	45.6022
24.5988	0.032677	45.5968
24.6405	0.032679	45.5930
24.6905	0.032669	45.5879
24.7405	0.032663	45.5827
24.7905	0.032675	45.5782
24.8485	0.032679	45.5727
24.8985	0.032677	45.5674
24.9485	0.032677	45.5620
24.9985	0.032685	45.5569
25.0403	0.032687	45.5529
25.0903	0.032685	45.5485
25.1403	0.032687	45.5432
25.1903	0.032689	45.5379
25.2482	0.032691	45.5321
25.2982	0.032704	45.5274
25.3482	0.032700	45.5227
25.3982	0.032702	45.5174
25.4402	0.032706	45.5133
25.4902	0.032710	45.5082
25.5402	0.032710	45.5031
25.5902	0.032708	45.4983
25.6481	0.032716	45.4919
25.6981	0.032716	45.4873
25.7481	0.032722	45.4821
25.7981	0.032718	45.4770
25.8400	0.032720	45.4731
25.8900	0.032728	45.4683
25.9400	0.032728	45.4632
25.9900	0.032726	45.4583
26.0482	0.032728	45.4526
26.0982	0.032736	45.4472
26.1482	0.032734	45.4419
26.1982	0.032732	45.4372
26.2398	0.032732	45.4331
26.2898	0.032736	45.4281
26.3398	0.032744	45.4234
26.3898	0.032738	45.4179
26.4477	0.032740	45.4124
26.4977	0.032738	45.4072
26.5477	0.032734	45.4022
26.5977	0.032746	45.3975
26.6397	0.032754	45.3930
26.6897	0.032750	45.3880
26.7397	0.032750	45.3830
26.7897	0.032750	45.3779
26.8476	0.032756	45.3723
26.8976	0.032760	45.3670
26.9476	0.032764	45.3623
26.9976	0.032771	45.3570
27.0395	0.032777	45.3527
27.0895	0.032777	45.3482
27.1395	0.032766	45.3434
27.1895	0.032773	45.3383
27.2475	0.032783	45.3326
27.2975	0.032779	45.3275
27.3475	0.032777	45.3224
27.3975	0.032773	45.3176
27.4394	0.032777	45.3130
27.4894	0.032783	45.3081
27.5394	0.032789	45.3031
27.5894	0.032791	45.2978
27.6313	0.032797	45.2940
27.6813	0.032795	45.2887
27.7313	0.032805	45.2835
27.7813	0.032809	45.2788
27.8392	0.032809	45.2734
27.8892	0.032803	45.2680
27.9392	0.032801	45.2636
27.9892	0.032807	45.2585
28.0314	0.032805	45.2539
28.0814	0.032811	45.2485
28.1314	0.032817	45.2441
28.1814	0.032823	45.2388
28.2390	0.032819	45.2332
28.2890	0.032823	45.2281
28.3390	0.032825	45.2228
28.3890	0.032825	45.2184
28.4309	0.032829	45.2139
28.4809	0.032823	45.2089
28.5309	0.032823	45.2042
28.5809	0.032833	45.1990
28.6391	0.032841	45.1938
28.6891	0.032844	45.1876
28.7391	0.032852	45.1824
28.7891	0.032850	45.1779
28.8308	0.032844	45.1740
28.8808	0.032844	45.1687
28.9308	0.032854	45.1639
28.9808	0.032854	45.1589
29.0389	0.032854	45.1531
29.0889	0.032860	45.1483
29.1389	0.032862	45.1427
29.1889	0.032866	45.1381
29.2306	0.032872	45.1339
29.2806	0.032870	45.1287
29.3306	0.032868	45.1241
29.3806	0.032864	45.1186
29.4385	0.032872	45.1129
29.4885	0.032880	45.1082
29.5385	0.032878	45.1033
29.5885	0.032882	45.0979
29.6308	0.032886	45.0935
29.6808	0.032888	45.0888
29.7308	0.032892	45.0837
29.7808	0.032886	45.0785
29.8384	0.032886	45.0732
29.8884	0.032898	45.0684
29.9384	0.032900	45.0630
29.9884	0.032898	45.0581
30.0303	0.032902	45.0538
30.0803	0.032904	45.0486
30.1303	0.032904	45.0438
30.1803	0.032908	45.0391
30.2382	0.032914	45.0331
30.2882	0.032910	45.0282
30.3382	0.032912	45.0233
30.3882	0.032921	45.0182
30.4301	0.032925	45.0142
30.4801	0.032921	45.0089
30.5301	0.032929	45.0039
30.5801	0.032929	44.9992
30.6223	0.032931	44.9946
30.6723	0.032933	44.9900
30.7223	0.032935	44.9849
30.7723	0.032937	44.9797
30.8299	0.032941	44.9743
30.8799	0.032949	44.9688
30.9299	0.032949	44.9640
30.9799	0.032949	44.9590
31.0219	0.032941	44.9547
31.0719	0.032943	44.9499
31.1219	0.032959	44.9446
31.1719	0.032967	44.9398
31.2298	0.032961	44.9342
31.2798	0.032967	44.9291
31.3298	0.032967	44.9240
31.3798	0.032969	44.9192
31.4217	0.032969	44.9148
31.4717	0.032973	44.9099
31.5217	0.032971	44.9048
31.5717	0.032975	44.8995
31.6296	0.032981	44.8942
31.6796	0.032987	44.8895
31.7296	0.032989	44.8843
31.7796	0.032989	44.8794
31.8215	0.032994	44.8752
31.8715	0.032994	44.8698
31.9215	0.032994	44.8650
31.9715	0.032994	44.8603
32.0295	0.032989	44.8544
32.0795	0.033000	44.8493
32.1295	0.033006	44.8444
32.1795	0.033008	44.8391
32.2214	0.033012	44.8353
32.2714	0.033016	44.8302
32.3214	0.033016	44.8248
32.3714	0.033016	44.8196
32.4293	0.033030	44.8141
32.4793	0.033032	44.8088
32.5293	0.033022	44.8039
32.5793	0.033020	44.7988
32.6212	0.033034	44.7943
32.6712	0.033036	44.7897
32.7212	0.033038	44.7850
32.7712	0.033046	44.7800
32.8295	0.033046	44.7742
32.8795	0.033040	44.7693
32.9295	0.033044	44.7640
32.9795	0.033048	44.7593
33.0210	0.033054	44.7548
33.0710	0.033056	44.7497
33.1210	0.033058	44.7451
33.1710	0.033058	44.7403
33.2290	0.033062	44.7343
33.2790	0.033071	44.7294
33.3290	0.033073	44.7242
33.3790	0.033075	44.7191
33.4209	0.033077	44.7154
33.4709	0.033081	44.7099
33.5209	0.033075	44.7052
33.5709	0.033079	44.7001
33.6288	0.033085	44.6942
33.6788	0.033089	44.6894
33.7288	0.033093	44.6840
33.7788	0.033095	44.6791
33.8207	0.033089	44.6749
33.8707	0.033093	44.6699
33.9207	0.033099	44.6652
33.9707	0.033105	44.6599
34.0126	0.033107	44.6558
34.0626	0.033107	44.6508
34.1126	0.033113	44.6454
34.1626	0.033117	44.6409
34.2205	0.033119	44.6354
34.2705	0.033115	44.6301
34.3205	0.033117	44.6252
34.3705	0.033129	44.6203
34.4125	0.033129	44.6157
34.4625	0.033129	44.6105
34.5125	0.033129	44.6053
34.5625	0.033135	44.6006
34.6203	0.033139	44.5952
34.6703	0.033135	44.5903
34.7203	0.033135	44.5851
34.7703	0.033141	44.5804
34.8123	0.033146	44.5757
34.8623	0.033152	44.5708
34.9123	0.033156	44.5660
34.9623	0.033154	44.5605
35.0202	0.033154	44.5553
35.0702	0.033154	44.5498
35.1202	0.033168	44.5450
35.1702	0.033178	44.5401
35.2121	0.033176	44.5356
35.2621	0.033182	44.5309
35.3121	0.033184	44.5257
35.3621	0.033178	44.5208
35.4200	0.033180	44.5151
35.4700	0.033180	44.5100
35.5200	0.033178	44.5051
35.5700	0.033184	44.5005
35.6120	0.033190	44.4963
35.6620	0.033192	44.4909
35.7120	0.033198	44.4856
35.7620	0.033202	44.4811
35.8199	0.033204	44.4748
35.8699	0.033206	44.4698
35.9199	0.033208	44.4652
35.9699	0.033200	44.4604
36.0118	0.033206	44.4557
36.0618	0.033216	44.4512
36.1118	0.033214	44.4460
36.1618	0.033221	44.4409
36.2197	0.033227	44.4353
36.2697	0.033225	44.4298
36.3197	0.033227	44.4250
36.3697	0.033231	44.4198
36.4118	0.033231	44.4157
36.4618	0.033239	44.4109
36.5118	0.033251	44.4057
36.5618	0.033251	44.4010
36.6196	0.033251	44.3954
36.6696	0.033245	44.3903
36.7196	0.033247	44.3854
36.7696	0.033253	44.3806
36.8115	0.033261	44.3762
36.8615	0.033265	44.3707
36.9115	0.033265	44.3656
36.9615	0.033265	44.3609
37.0194	0.033273	44.3554
37.0694	0.033283	44.3500
37.1194	0.033283	44.3449
37.1694	0.033283	44.3400
37.2115	0.033279	44.3358
37.2615	0.033279	44.3304
37.3115	0.033285	44.3259
37.3615	0.033291	44.3212
