Time(s)	Force(lb)	Position(mm)
10.7541	0.032694	46.9819
10.8041	0.032696	46.9766
10.8541	0.032702	46.9718
10.9119	0.032706	46.9660
10.9619	0.032702	46.9609
11.0119	0.032702	46.9560
11.0619	0.032716	46.9506
11.1042	0.032716	46.9467
11.1542	0.032718	46.9421
11.2042	0.032716	46.9372
11.2542	0.032722	46.9320
11.3118	0.032720	46.9258
11.3618	0.032718	46.9212
11.4118	0.032718	46.9159
11.4618	0.032724	46.9108
11.5037	0.032730	46.9068
11.5537	0.032732	46.9016
11.6037	0.032722	46.8968
11.6537	0.032728	46.8918
11.7116	0.032736	46.8860
11.7616	0.032740	46.8813
11.8116	0.032738	46.8759
11.8616	0.032738	46.8713
11.9035	0.032738	46.8671
11.9535	0.032740	46.8617
12.0035	0.032738	46.8565
12.0535	0.032744	46.8518
12.1115	0.032746	46.8464
12.1615	0.032750	46.8414
12.2115	0.032756	46.8364
12.2615	0.032752	46.8315
12.3034	0.032756	46.8272
12.3534	0.032754	46.8218
12.4034	0.032756	46.8167
12.4534	0.032771	46.8119
12.5113	0.032771	46.8059
12.5613	0.032764	46.8012
12.6113	0.032764	46.7960
12.6613	0.032766	46.7911
12.7032	0.032773	46.7870
12.7532	0.032779	46.7817
12.8032	0.032781	46.7772
12.8532	0.032775	46.7721
12.9111	0.032773	46.7659
12.9611	0.032785	46.7608
13.0111	0.032791	46.7561
13.0611	0.032787	46.7507
13.1033	0.032787	46.7468
13.1533	0.032793	46.7420
13.2033	0.032795	46.7367
13.2533	0.032799	46.7322
13.3110	0.032801	46.7262
13.3610	0.032793	46.7207
13.4110	0.032799	46.7156
13.4610	0.032811	46.7110
13.5033	0.032809	46.7071
13.5533	0.032803	46.7019
13.6033	0.032797	46.6970
13.6533	0.032805	46.6921
13.6948	0.032815	46.6878
13.7448	0.032811	46.6830
13.7948	0.032809	46.6777
13.8448	0.032815	46.6727
13.9027	0.032823	46.6670
13.9527	0.032823	46.6617
14.0027	0.032825	46.6572
14.0527	0.032829	46.6517
14.0950	0.032835	46.6475
14.1450	0.032841	46.6426
14.1950	0.032835	46.6374
14.2450	0.032833	46.6327
14.3026	0.032831	46.6268
14.3526	0.032839	46.6220
14.4026	0.032844	46.6171
14.4526	0.032844	46.6117
14.4945	0.032848	46.6079
14.5445	0.032846	46.6027
14.5945	0.032850	46.5977
14.6445	0.032852	46.5929
14.7024	0.032852	46.5867
14.7524	0.032856	46.5822
14.8024	0.032856	46.5767
14.8524	0.032852	46.5718
14.8943	0.032858	46.5678
14.9443	0.032858	46.5626
14.9943	0.032858	46.5579
15.0443	0.032860	46.5528
15.1023	0.032854	46.5472
15.1523	0.032860	46.5422
15.2023	0.032868	46.5368
15.2523	0.032874	46.5322
15.2942	0.032874	46.5277
15.3442	0.032880	46.5227
15.3942	0.032884	46.5180
15.4442	0.032878	46.5126
15.5021	0.032880	46.5072
15.5521	0.032876	46.5019
15.6021	0.032884	46.4970
15.6521	0.032888	46.4921
15.6941	0.032890	46.4877
15.7441	0.032896	46.4830
15.7941	0.032896	46.4777
15.8441	0.032898	46.4727
15.9020	0.032898	46.4671
15.9520	0.032904	46.4617
16.0020	0.032904	46.4572
16.0520	0.032908	46.4525
16.0939	0.032908	46.4483
16.1439	0.032912	46.4429
16.1939	0.032914	46.4375
16.2439	0.032919	46.4328
16.3018	0.032916	46.4269
16.3518	0.032921	46.4221
16.4018	0.032923	46.4172
16.4518	0.032923	46.4121
16.4937	0.032927	46.4080
16.5437	0.032935	46.4033
16.5937	0.032935	46.3983
16.6437	0.032939	46.3930
16.7020	0.032939	46.3869
16.7520	0.032945	46.3823
16.8020	0.032953	46.3767
16.8520	0.032953	46.3719
16.8936	0.032949	46.3678
16.9436	0.032951	46.3627
16.9936	0.032949	46.3580
17.0436	0.032951	46.3529
17.0858	0.032947	46.3487
17.1358	0.032951	46.3438
17.1858	0.032957	46.3383
17.2358	0.032959	46.3338
17.2934	0.032955	46.3279
17.3434	0.032953	46.3230
17.3934	0.032955	46.3183
17.4434	0.032969	46.3129
17.4853	0.032971	46.3084
17.5353	0.032971	46.3035
17.5853	0.032971	46.2989
17.6353	0.032973	46.2940
17.6932	0.032979	46.2881
17.7432	0.032977	46.2833
17.7932	0.032979	46.2781
17.8432	0.032983	46.2731
17.8851	0.032981	46.2688
17.9351	0.032985	46.2633
17.9851	0.032994	46.2589
18.0351	0.032991	46.2538
18.0934	0.032998	46.2480
18.1434	0.032998	46.2431
18.1934	0.033006	46.2377
18.2434	0.033002	46.2331
18.2852	0.033004	46.2287
18.3352	0.033008	46.2237
18.3852	0.033004	46.2188
18.4352	0.033006	46.2137
18.4929	0.033014	46.2082
18.5429	0.033016	46.2029
18.5929	0.033016	46.1980
18.6429	0.033026	46.1932
18.6851	0.033030	46.1885
18.7351	0.033022	46.1840
18.7851	0.033026	46.1788
18.8351	0.033032	46.1734
18.8927	0.033030	46.1674
18.9427	0.033028	46.1629
18.9927	0.033032	46.1582
19.0427	0.033040	46.1531
19.0847	0.033040	46.1490
19.1347	0.033044	46.1441
19.1847	0.033050	46.1391
19.2347	0.033042	46.1337
19.2929	0.033048	46.1280
19.3429	0.033050	46.1229
19.3929	0.033054	46.1178
19.4429	0.033056	46.1131
19.4845	0.033064	46.1088
19.5345	0.033060	46.1039
19.5845	0.033064	46.0987
19.6345	0.033064	46.0934
19.6924	0.033069	46.0882
19.7424	0.033073	46.0835
19.7924	0.033077	46.0783
19.8424	0.033079	46.0733
19.8844	0.033077	46.0690
19.9344	0.033081	46.0636
19.9844	0.033085	46.0590
20.0344	0.033083	46.0537
20.0922	0.033081	46.0481
20.1422	0.033087	46.0432
20.1922	0.033093	46.0380
20.2422	0.033095	46.0335
20.2842	0.033103	46.0290
20.3342	0.033107	46.0239
20.3842	0.033105	46.0190
20.4342	0.033103	46.0138
20.4761	0.033111	46.0098
20.5261	0.033115	46.0047
20.5761	0.033111	45.9997
20.6261	0.033111	45.9949
20.6841	0.033123	45.9894
20.7341	0.033123	45.9842
20.7841	0.033123	45.9787
20.8341	0.033123	45.9739
20.8759	0.033125	45.9701
20.9259	0.033129	45.9645
20.9759	0.033129	45.9596
21.0259	0.033133	45.9544
21.0839	0.033139	45.9486
21.1339	0.033131	45.9437
21.1839	0.033133	45.9385
21.2339	0.033144	45.9337
21.2758	0.033148	45.9298
21.3258	0.033148	45.9247
21.3758	0.033152	45.9194
21.4258	0.033150	45.9148
21.4837	0.033156	45.9091
21.5337	0.033160	45.9041
21.5837	0.033160	45.8989
21.6337	0.033160	45.8940
21.6756	0.033170	45.8900
21.7256	0.033176	45.8845
21.7756	0.033172	45.8798
21.8256	0.033170	45.8749
21.8835	0.033176	45.8690
21.9335	0.033180	45.8643
21.9835	0.033180	45.8589
22.0335	0.033192	45.8541
22.0754	0.033190	45.8499
22.1254	0.033180	45.8447
22.1754	0.033186	45.8401
22.2254	0.033194	45.8349
22.2833	0.033204	45.8293
22.3333	0.033204	45.8241
22.3833	0.033208	45.8190
22.4333	0.033206	45.8144
22.4752	0.033208	45.8099
22.5252	0.033216	45.8046
22.5752	0.033216	45.7996
22.6252	0.033212	45.7945
22.6831	0.033216	45.7883
22.7331	0.033227	45.7839
22.7831	0.033231	45.7792
22.8331	0.033229	45.7741
22.8751	0.033229	45.7698
22.9251	0.033233	45.7650
22.9751	0.033237	45.7597
23.0251	0.033237	45.7548
23.0830	0.033229	45.7493
23.1330	0.033231	45.7444
23.1830	0.033245	45.7391
23.2330	0.033253	45.7336
23.2749	0.033251	45.7299
23.3249	0.033251	45.7248
23.3749	0.033253	45.7196
23.4249	0.033257	45.7149
23.4668	0.033261	45.7106
23.5168	0.033265	45.7056
23.5668	0.033259	45.7007
23.6168	0.033259	45.6955
23.6760	0.033267	45.6899
23.7260	0.033277	45.6844
23.7760	0.033275	45.6798
23.8260	0.033275	45.6746
23.8667	0.033283	45.6704
23.9167	0.033291	45.6659
23.9667	0.033287	45.6605
24.0167	0.033287	45.6557
24.0746	0.033294	45.6499
24.1246	0.033294	45.6447
24.1746	0.033304	45.6398
24.2246	0.033302	45.6347
24.2665	0.033312	45.6307
24.3165	0.033310	45.6257
24.3665	0.033308	45.6206
24.4165	0.033306	45.6158
24.4744	0.033312	45.6103
24.5244	0.033316	45.6050
24.5744	0.033316	45.6001
24.6244	0.033318	45.5952
24.6664	0.033330	45.5908
24.7164	0.033332	45.5860
24.7664	0.033320	45.5807
24.8164	0.033334	45.5754
24.8746	0.033342	45.5696
24.9246	0.033338	45.5648
24.9746	0.033340	45.5596
25.0246	0.033342	45.5548
25.0663	0.033342	45.5506
25.1163	0.033348	45.5454
25.1663	0.033354	45.5407
25.2163	0.033352	45.5360
25.2741	0.033358	45.5302
25.3241	0.033360	45.5248
25.3741	0.033369	45.5198
25.4241	0.033373	45.5151
25.4659	0.033373	45.5105
25.5159	0.033373	45.5056
25.5659	0.033377	45.5006
25.6159	0.033379	45.4955
25.6738	0.033385	45.4900
25.7238	0.033387	45.4848
25.7738	0.033385	45.4801
25.8238	0.033385	45.4749
25.8658	0.033389	45.4705
