Time(s)	Force(lb)	Position(mm)
0.1120	0.032361	47.9999
0.1620	0.032361	47.9995
0.2120	0.032357	47.9990
0.2891	0.032355	47.9977
0.3391	0.032365	47.9964
0.3891	0.032367	47.9950
0.4391	0.032365	47.9934
0.4970	0.032365	47.9909
0.5470	0.032359	47.9888
0.5970	0.032361	47.9865
0.6470	0.032363	47.9837
0.6889	0.032361	47.9811
0.7389	0.032361	47.9776
0.7889	0.032363	47.9742
0.8389	0.032365	47.9705
0.8968	0.032367	47.9660
0.9468	0.032365	47.9619
0.9968	0.032363	47.9572
1.0468	0.032361	47.9527
1.0888	0.032355	47.9483
1.1388	0.032359	47.9433
1.1888	0.032363	47.9387
1.2388	0.032359	47.9334
1.2967	0.032361	47.9280
1.3467	0.032367	47.9228
1.3967	0.032369	47.9174
1.4467	0.032369	47.9122
1.4886	0.032367	47.9085
1.5386	0.032365	47.9038
1.5886	0.032357	47.8988
1.6386	0.032363	47.8937
1.6968	0.032369	47.8881
1.7468	0.032363	47.8829
1.7968	0.032371	47.8775
1.8468	0.032375	47.8726
1.8884	0.032371	47.8685
1.9384	0.032373	47.8632
1.9884	0.032377	47.8584
2.0384	0.032377	47.8534
2.0963	0.032379	47.8477
2.1463	0.032385	47.8429
2.1963	0.032379	47.8380
2.2463	0.032381	47.8327
2.2883	0.032383	47.8288
2.3383	0.032383	47.8238
2.3883	0.032383	47.8185
2.4383	0.032387	47.8131
2.4802	0.032389	47.8091
2.5302	0.032394	47.8045
2.5802	0.032398	47.7996
2.6302	0.032394	47.7942
2.6881	0.032394	47.7882
2.7381	0.032389	47.7835
2.7881	0.032387	47.7780
2.8381	0.032398	47.7732
2.8800	0.032408	47.7694
2.9300	0.032412	47.7646
2.9800	0.032406	47.7594
3.0300	0.032398	47.7546
3.0879	0.032404	47.7488
3.1379	0.032406	47.7438
3.1879	0.032402	47.7391
3.2379	0.032402	47.7336
3.2798	0.032400	47.7292
3.3298	0.032408	47.7243
3.3798	0.032418	47.7195
3.4298	0.032418	47.7143
3.4881	0.032418	47.7086
3.5381	0.032412	47.7038
3.5881	0.032410	47.6986
3.6381	0.032422	47.6937
3.6797	0.032430	47.6898
3.7297	0.032434	47.6846
3.7797	0.032436	47.6798
3.8297	0.032436	47.6746
3.8876	0.032434	47.6687
3.9376	0.032430	47.6641
3.9876	0.032428	47.6587
4.0376	0.032432	47.6534
4.0795	0.032436	47.6493
4.1295	0.032436	47.6444
4.1795	0.032436	47.6390
4.2295	0.032436	47.6344
4.2874	0.032446	47.6289
4.3374	0.032440	47.6238
4.3874	0.032442	47.6188
4.4374	0.032442	47.6140
4.4793	0.032450	47.6097
4.5293	0.032448	47.6043
4.5793	0.032448	47.5993
4.6293	0.032452	47.5944
4.6872	0.032442	47.5884
4.7372	0.032448	47.5837
4.7872	0.032454	47.5784
4.8372	0.032456	47.5736
4.8792	0.032450	47.5695
4.9292	0.032460	47.5640
4.9792	0.032466	47.5596
5.0292	0.032464	47.5543
5.0872	0.032475	47.5487
5.1372	0.032473	47.5437
5.1872	0.032462	47.5384
5.2372	0.032466	47.5336
5.2790	0.032473	47.5292
5.3290	0.032473	47.5243
5.3790	0.032473	47.5194
5.4290	0.032481	47.5143
5.4869	0.032479	47.5089
5.5369	0.032483	47.5035
5.5869	0.032487	47.4987
5.6369	0.032487	47.4938
5.6791	0.032485	47.4894
5.7291	0.032487	47.4841
5.7791	0.032495	47.4792
5.8291	0.032493	47.4746
5.8708	0.032489	47.4707
5.9208	0.032487	47.4652
5.9708	0.032495	47.4605
6.0208	0.032501	47.4555
6.0787	0.032497	47.4498
6.1287	0.032497	47.4450
6.1787	0.032501	47.4398
6.2287	0.032499	47.4343
6.2706	0.032499	47.4301
6.3206	0.032507	47.4251
6.3706	0.032507	47.4200
6.4206	0.032513	47.4153
6.4785	0.032515	47.4093
6.5285	0.032509	47.4044
6.5785	0.032515	47.3997
6.6285	0.032519	47.3949
6.6704	0.032527	47.3906
6.7204	0.032525	47.3851
6.7704	0.032527	47.3802
6.8204	0.032529	47.3754
6.8783	0.032533	47.3692
6.9283	0.032531	47.3643
6.9783	0.032529	47.3599
7.0283	0.032529	47.3546
7.0702	0.032539	47.3504
7.1202	0.032539	47.3458
7.1702	0.032544	47.3403
7.2202	0.032544	47.3349
7.2782	0.032539	47.3295
7.3282	0.032544	47.3246
7.3782	0.032544	47.3193
7.4282	0.032539	47.3148
7.4705	0.032548	47.3102
7.5205	0.032560	47.3052
7.5705	0.032554	47.3006
7.6205	0.032554	47.2958
7.6780	0.032560	47.2895
7.7280	0.032562	47.2842
7.7780	0.032556	47.2794
7.8280	0.032556	47.2744
7.8699	0.032558	47.2701
7.9199	0.032562	47.2654
7.9699	0.032562	47.2606
8.0199	0.032566	47.2555
8.0779	0.032572	47.2498
8.1279	0.032574	47.2448
8.1779	0.032574	47.2397
8.2279	0.032574	47.2349
8.2698	0.032574	47.2305
8.3198	0.032578	47.2254
8.3698	0.032586	47.2206
8.4198	0.032582	47.2152
8.4777	0.032578	47.2100
8.5277	0.032586	47.2046
8.5777	0.032590	47.1998
8.6277	0.032584	47.1949
8.6697	0.032586	47.1904
8.7197	0.032598	47.1854
8.7697	0.032600	47.1801
8.8197	0.032594	47.1751
8.8775	0.032594	47.1698
8.9275	0.032602	47.1650
8.9775	0.032610	47.1596
9.0275	0.032610	47.1548
9.0695	0.032606	47.1506
9.1195	0.032606	47.1456
9.1695	0.032614	47.1409
9.2195	0.032608	47.1358
9.2614	0.032606	47.1313
9.3114	0.032616	47.1261
9.3614	0.032625	47.1212
9.4114	0.032627	47.1159
9.4693	0.032629	47.1105
9.5193	0.032625	47.1055
9.5693	0.032627	47.1005
9.6193	0.032633	47.0955
9.6612	0.032629	47.0909
9.7112	0.032633	47.0864
9.7612	0.032641	47.0813
9.8112	0.032641	47.0761
9.8691	0.032649	47.0707
9.9191	0.032649	47.0654
9.9691	0.032643	47.0598
10.0191	0.032643	47.0551
10.0611	0.032643	47.0512
10.1111	0.032655	47.0463
10.1611	0.032655	47.0411
10.2111	0.032653	47.0363
10.2690	0.032657	47.0304
10.3190	0.032663	47.0254
10.3690	0.032667	47.0206
10.4190	0.032661	47.0157
10.4610	0.032665	47.0114
10.5110	0.032673	47.0065
10.5610	0.032675	47.0015
10.6110	0.032671	46.9964
10.6688	0.032669	46.9910
10.7188	0.032671	46.9856
10.7688	0.032679	46.9804
10.8188	0.032681	46.9755
10.8610	0.032681	46.9714
10.9110	0.032685	46.9662
10.9610	0.032683	46.9614
11.0110	0.032687	46.9561
11.0687	0.032687	46.9504
11.1187	0.032687	46.9457
11.1687	0.032683	46.9404
11.2187	0.032689	46.9359
11.2606	0.032700	46.9314
11.3106	0.032702	46.9263
11.3606	0.032700	46.9216
11.4106	0.032702	46.9161
11.4685	0.032714	46.9105
11.5185	0.032710	46.9053
11.5685	0.032708	46.9004
11.6185	0.032718	46.8954
11.6605	0.032714	46.8910
11.7105	0.032716	46.8863
11.7605	0.032724	46.8815
11.8105	0.032730	46.8765
11.8684	0.032726	46.8707
11.9184	0.032730	46.8658
11.9684	0.032730	46.8607
12.0184	0.032728	46.8558
12.0603	0.032734	46.8515
12.1103	0.032734	46.8463
12.1603	0.032730	46.8417
12.2103	0.032730	46.8362
12.2522	0.032740	46.8323
12.3022	0.032738	46.8274
12.3522	0.032738	46.8221
12.4022	0.032750	46.8176
12.4601	0.032754	46.8115
12.5101	0.032752	46.8066
12.5601	0.032746	46.8017
12.6101	0.032750	46.7964
12.6521	0.032756	46.7918
12.7021	0.032760	46.7872
12.7521	0.032766	46.7822
12.8021	0.032764	46.7770
12.8602	0.032764	46.7714
12.9102	0.032766	46.7662
12.9602	0.032764	46.7615
13.0102	0.032769	46.7564
13.0519	0.032771	46.7522
13.1019	0.032775	46.7474
13.1519	0.032779	46.7419
13.2019	0.032785	46.7373
13.2598	0.032791	46.7315
13.3098	0.032787	46.7264
13.3598	0.032783	46.7216
13.4098	0.032795	46.7161
13.4517	0.032799	46.7120
13.5017	0.032799	46.7070
13.5517	0.032805	46.7020
13.6017	0.032807	46.6972
13.6596	0.032805	46.6912
13.7096	0.032809	46.6865
13.7596	0.032811	46.6811
13.8096	0.032813	46.6761
13.8515	0.032813	46.6723
13.9015	0.032809	46.6676
13.9515	0.032815	46.6624
14.0015	0.032825	46.6576
14.0595	0.032827	46.6518
14.1095	0.032821	46.6466
14.1595	0.032827	46.6412
14.2095	0.032833	46.6365
14.2514	0.032841	46.6322
14.3014	0.032846	46.6272
14.3514	0.032837	46.6226
14.4014	0.032841	46.6174
14.4593	0.032841	46.6118
14.5093	0.032846	46.6064
14.5593	0.032846	46.6014
14.6093	0.032844	46.5966
14.6512	0.032846	46.5919
14.7012	0.032850	46.5873
14.7512	0.032858	46.5827
14.8012	0.032862	46.5777
14.8594	0.032868	46.5714
14.9094	0.032862	46.5662
14.9594	0.032864	46.5616
15.0094	0.032868	46.5564
15.0514	0.032866	46.5522
15.1014	0.032872	46.5472
15.1514	0.032874	46.5417
15.2014	0.032878	46.5373
15.2590	0.032882	46.5314
15.3090	0.032878	46.5264
15.3590	0.032882	46.5217
15.4090	0.032892	46.5163
15.4509	0.032890	46.5125
15.5009	0.032892	46.5074
15.5509	0.032898	46.5022
15.6009	0.032902	46.4973
15.6428	0.032902	46.4930
15.6928	0.032902	46.4881
15.7428	0.032906	46.4830
15.7928	0.032910	46.4779
15.8507	0.032910	46.4724
15.9007	0.032914	46.4677
