Time(s)	Force(lb)	Position(mm)
0.1204	0.032835	47.9998
0.1704	0.032829	47.9995
0.2204	0.032833	47.9988
0.3153	0.032831	47.9969
0.3653	0.032833	47.9955
0.4153	0.032839	47.9939
0.4653	0.032837	47.9922
0.5071	0.032837	47.9902
0.5571	0.032835	47.9880
0.6071	0.032829	47.9855
0.6571	0.032825	47.9825
0.7151	0.032837	47.9794
0.7651	0.032841	47.9758
0.8151	0.032837	47.9723
0.8651	0.032841	47.9685
0.9070	0.032844	47.9650
0.9570	0.032841	47.9603
1.0070	0.032841	47.9560
1.0570	0.032848	47.9514
1.1149	0.032846	47.9453
1.1649	0.032848	47.9405
1.2149	0.032858	47.9351
1.2649	0.032852	47.9303
1.3068	0.032848	47.9260
1.3568	0.032856	47.9209
1.4068	0.032864	47.9163
1.4568	0.032866	47.9109
1.5147	0.032866	47.9055
1.5647	0.032870	47.9005
1.6147	0.032874	47.8951
1.6647	0.032872	47.8899
1.7067	0.032876	47.8860
1.7567	0.032878	47.8808
1.8067	0.032876	47.8758
1.8567	0.032882	47.8713
1.8986	0.032888	47.8674
1.9486	0.032890	47.8622
1.9986	0.032894	47.8572
2.0486	0.032902	47.8528
2.1067	0.032902	47.8489
2.1567	0.032906	47.8431
2.2067	0.032906	47.8361
2.2567	0.032904	47.8313
2.2990	0.032912	47.8267
2.3490	0.032923	47.8219
2.3990	0.032923	47.8169
2.4490	0.032919	47.8117
2.5064	0.032929	47.8066
2.5564	0.032925	47.8011
2.6064	0.032925	47.7965
2.6564	0.032931	47.7914
2.6983	0.032935	47.7870
2.7483	0.032941	47.7823
2.7983	0.032947	47.7772
2.8483	0.032945	47.7723
2.9063	0.032947	47.7664
2.9563	0.032949	47.7613
3.0063	0.032949	47.7565
3.0563	0.032955	47.7512
3.0981	0.032953	47.7469
3.1481	0.032959	47.7420
3.1981	0.032967	47.7372
3.2481	0.032965	47.7320
3.3066	0.032965	47.7265
3.3566	0.032977	47.7212
3.4066	0.032975	47.7162
3.4566	0.032973	47.7114
3.4979	0.032977	47.7068
3.5479	0.032981	47.7022
3.5979	0.032991	47.6971
3.6479	0.032994	47.6920
3.7058	0.032996	47.6864
3.7558	0.032998	47.6813
3.8058	0.033004	47.6766
3.8558	0.033008	47.6716
3.8978	0.033010	47.6672
3.9478	0.033014	47.6618
3.9978	0.033018	47.6570
4.0478	0.033018	47.6519
4.1056	0.033020	47.6462
4.1556	0.033026	47.6411
4.2056	0.033018	47.6360
4.2556	0.033026	47.6313
4.2977	0.033032	47.6267
4.3477	0.033030	47.6218
4.3977	0.033034	47.6173
4.4477	0.033036	47.6126
4.5055	0.033042	47.6067
4.5555	0.033050	47.6012
4.6055	0.033046	47.5963
4.6555	0.033048	47.5913
4.6974	0.033052	47.5867
4.7474	0.033062	47.5820
4.7974	0.033069	47.5768
4.8474	0.033066	47.5719
4.9053	0.033069	47.5661
4.9553	0.033069	47.5611
5.0053	0.033069	47.5564
5.0553	0.033071	47.5517
5.0972	0.033089	47.5475
5.1472	0.033089	47.5422
5.1972	0.033083	47.5368
5.2472	0.033089	47.5322
5.2892	0.033101	47.5278
5.3392	0.033097	47.5227
5.3892	0.033101	47.5179
5.4392	0.033103	47.5127
5.4971	0.033115	47.5072
5.5471	0.033119	47.5021
5.5971	0.033113	47.4972
5.6471	0.033117	47.4922
5.6890	0.033121	47.4875
5.7390	0.033119	47.4829
5.7890	0.033127	47.4784
5.8390	0.033127	47.4735
5.8969	0.033129	47.4672
5.9469	0.033127	47.4618
5.9969	0.033131	47.4573
6.0469	0.033117	47.4520
6.0888	0.033107	47.4478
6.1388	0.033087	47.4430
6.1888	0.033129	47.4378
6.2388	0.033233	47.4331
6.2967	0.033289	47.4272
6.3467	0.033273	47.4223
6.3967	0.033251	47.4173
6.4467	0.033271	47.4120
6.4890	0.033275	47.4082
6.5390	0.033237	47.4030
6.5890	0.033285	47.3979
6.6390	0.033435	47.3932
6.6965	0.033547	47.3870
6.7465	0.033634	47.3823
6.7965	0.033776	47.3772
6.8465	0.033900	47.3722
6.8885	0.034070	47.3681
6.9385	0.033843	47.3629
6.9885	0.033468	47.3581
7.0385	0.033338	47.3528
7.0963	0.033241	47.3472
7.1463	0.033160	47.3423
7.1963	0.033170	47.3370
7.2463	0.033287	47.3326
7.2883	0.033308	47.3282
7.3383	0.033249	47.3228
7.3883	0.033186	47.3176
7.4383	0.033178	47.3131
7.4962	0.033190	47.3077
7.5462	0.033188	47.3025
7.5962	0.033198	47.2975
7.6462	0.033200	47.2925
7.6881	0.033202	47.2881
7.7381	0.033212	47.2834
7.7881	0.033223	47.2782
7.8381	0.033243	47.2729
7.8960	0.033245	47.2670
7.9460	0.033231	47.2624
7.9960	0.033237	47.2571
8.0460	0.033237	47.2523
8.0879	0.033216	47.2481
8.1379	0.033212	47.2429
8.1879	0.033239	47.2384
8.2379	0.033259	47.2331
8.2961	0.033306	47.2270
8.3461	0.033322	47.2220
8.3961	0.033360	47.2172
8.4461	0.033464	47.2124
8.4878	0.033604	47.2080
8.5378	0.033725	47.2031
8.5878	0.033679	47.1981
8.6378	0.033516	47.1929
8.6797	0.033470	47.1889
8.7297	0.033531	47.1835
8.7797	0.033547	47.1786
8.8297	0.033608	47.1741
8.8876	0.033729	47.1685
8.9376	0.033772	47.1632
8.9876	0.033606	47.1584
9.0376	0.033446	47.1533
9.0795	0.033375	47.1491
9.1295	0.033340	47.1443
9.1795	0.033338	47.1389
9.2295	0.033304	47.1336
9.2874	0.033267	47.1280
9.3374	0.033275	47.1230
9.3874	0.033275	47.1179
9.4374	0.033279	47.1132
9.4793	0.033285	47.1092
9.5293	0.033298	47.1042
9.5793	0.033302	47.0990
9.6293	0.033302	47.0938
9.6872	0.033300	47.0886
9.7372	0.033306	47.0833
9.7872	0.033312	47.0783
9.8372	0.033318	47.0733
9.8791	0.033320	47.0690
9.9291	0.033330	47.0642
9.9791	0.033334	47.0590
10.0291	0.033338	47.0540
10.0870	0.033344	47.0482
10.1370	0.033354	47.0430
10.1870	0.033354	47.0386
10.2370	0.033354	47.0332
10.2790	0.033362	47.0288
10.3290	0.033364	47.0237
10.3790	0.033366	47.0190
10.4290	0.033364	47.0136
10.4869	0.033373	47.0084
10.5369	0.033377	47.0033
10.5869	0.033391	46.9982
10.6369	0.033397	46.9936
10.6788	0.033399	46.9890
10.7288	0.033397	46.9836
10.7788	0.033399	46.9786
10.8288	0.033403	46.9741
10.8867	0.033409	46.9685
10.9367	0.033411	46.9634
10.9867	0.033421	46.9579
11.0367	0.033425	46.9531
11.0786	0.033429	46.9491
11.1286	0.033435	46.9436
11.1786	0.033433	46.9390
11.2286	0.033435	46.9339
11.2866	0.033435	46.9282
11.3366	0.033450	46.9232
11.3866	0.033448	46.9181
11.4366	0.033452	46.9133
11.4785	0.033456	46.9093
11.5285	0.033458	46.9043
11.5785	0.033468	46.8992
11.6285	0.033480	46.8944
11.6864	0.033486	46.8883
11.7364	0.033478	46.8835
11.7864	0.033480	46.8783
11.8364	0.033490	46.8733
11.8783	0.033490	46.8695
11.9283	0.033500	46.8640
11.9783	0.033502	46.8588
12.0283	0.033502	46.8538
12.0702	0.033508	46.8498
12.1202	0.033516	46.8453
12.1702	0.033523	46.8400
12.2202	0.033519	46.8350
12.2781	0.033519	46.8292
12.3281	0.033531	46.8241
12.3781	0.033539	46.8193
12.4281	0.033539	46.8141
12.4700	0.033539	46.8100
12.5200	0.033545	46.8049
12.5700	0.033553	46.7996
12.6200	0.033563	46.7952
12.6784	0.033559	46.7889
12.7284	0.033555	46.7843
12.7784	0.033565	46.7792
12.8284	0.033569	46.7739
12.8701	0.033581	46.7699
12.9201	0.033587	46.7646
12.9701	0.033581	46.7598
13.0201	0.033589	46.7549
13.0778	0.033598	46.7490
13.1278	0.033589	46.7441
13.1778	0.033598	46.7386
13.2278	0.033608	46.7340
13.2697	0.033614	46.7301
13.3197	0.033624	46.7253
13.3697	0.033626	46.7201
13.4197	0.033624	46.7154
13.4776	0.033622	46.7093
13.5276	0.033626	46.7043
13.5776	0.033634	46.6992
13.6276	0.033634	46.6940
13.6695	0.033640	46.6902
13.7195	0.033642	46.6850
13.7695	0.033652	46.6800
13.8195	0.033660	46.6751
13.8775	0.033658	46.6691
13.9275	0.033664	46.6643
13.9775	0.033673	46.6592
14.0275	0.033677	46.6544
14.0694	0.033685	46.6504
14.1194	0.033691	46.6453
14.1694	0.033687	46.6397
14.2194	0.033689	46.6348
14.2773	0.033695	46.6290
14.3273	0.033703	46.6240
14.3773	0.033703	46.6192
14.4273	0.033713	46.6140
14.4692	0.033711	46.6099
14.5192	0.033713	46.6047
14.5692	0.033717	46.5996
14.6192	0.033729	46.5951
14.6782	0.033735	46.5898
14.7282	0.033733	46.5845
14.7782	0.033735	46.5791
14.8282	0.033739	46.5741
14.8692	0.033748	46.5705
14.9192	0.033748	46.5650
14.9692	0.033752	46.5601
15.0192	0.033762	46.5551
15.0769	0.033766	46.5492
15.1269	0.033762	46.5444
15.1769	0.033772	46.5399
15.2269	0.033774	46.5351
15.2689	0.033784	46.5308
15.3189	0.033796	46.5253
15.3689	0.033790	46.5202
15.4189	0.033790	46.5154
15.4609	0.033804	46.5113
15.5109	0.033798	46.5059
15.5609	0.033796	46.5006
15.6109	0.033806	46.4958
15.6688	0.033810	46.4900
15.7188	0.033821	46.4849
15.7688	0.033819	46.4800
15.8188	0.033823	46.4746
15.8607	0.033839	46.4708
15.9107	0.033839	46.4660
15.9607	0.033841	46.4608
16.0107	0.033849	46.4563
16.0686	0.033855	46.4499
16.1186	0.033865	46.4453
16.1686	0.033857	46.4401
16.2186	0.033863	46.4349
16.2605	0.033875	46.4308
16.3105	0.033885	46.4256
16.3605	0.033891	46.4208
16.4105	0.033894	46.4159
16.4684	0.033900	46.4100
16.5184	0.033904	46.4052
16.5684	0.033900	46.3998
16.6184	0.033902	46.3952
16.6603	0.033906	46.3909
16.7103	0.033920	46.3857
16.7603	0.033932	46.3812
16.8103	0.033918	46.3758
16.8683	0.033922	46.3702
16.9183	0.033934	46.3652
16.9683	0.033934	46.3601
17.0183	0.033944	46.3553
17.0602	0.033958	46.3510
17.1102	0.033960	46.3461
17.1602	0.033956	46.3410
17.2102	0.033956	46.3358
17.2681	0.033966	46.3303
17.3181	0.033979	46.3248
17.3681	0.033979	46.3203
17.4181	0.033983	46.3152
17.4600	0.033995	46.3109
17.5100	0.033999	46.3064
17.5600	0.034005	46.3010
17.6100	0.034011	46.2962
17.6681	0.034017	46.2903
17.7181	0.034013	46.2853
17.7681	0.034021	46.2805
17.8181	0.034029	46.2753
17.8598	0.034031	46.2712
17.9098	0.034039	46.2661
17.9598	0.034035	46.2609
18.0098	0.034044	46.2563
18.0678	0.034056	46.2501
18.1178	0.034062	46.2448
18.1678	0.034066	46.2399
18.2178	0.034074	46.2352
18.2597	0.034074	46.2313
18.3097	0.034078	46.2263
18.3597	0.034086	46.2209
18.4097	0.034090	46.2158
18.4676	0.034098	46.2103
18.5176	0.034094	46.2050
18.5676	0.034104	46.2001
18.6176	0.034116	46.1949
18.6595	0.034119	46.1908
18.7095	0.034119	46.1859
18.7595	0.034119	46.1807
18.8095	0.034129	46.1761
18.8514	0.034143	46.1717
18.9014	0.034147	46.1667
18.9514	0.034147	46.1621
19.0014	0.034153	46.1567
19.0594	0.034157	46.1514
19.1094	0.034157	46.1463
